arrival_time,queue_len_at_arrival,service_time,start_service_time,completion_time,wait_time,system_time
9.820670443845717,0,1.2370782069143358,9.820670443845717,11.057748650760054,0.0,1.2370782069143367
14.903005549869746,0,0.6588239092983212,14.903005549869746,15.561829459168068,0.0,0.6588239092983219
19.158806377288748,0,1.480188777961657,19.158806377288748,20.638995155250406,0.0,1.4801887779616578
23.238198430056347,0,1.3843067675293166,23.238198430056347,24.622505197585664,0.0,1.384306767529317
26.212851824802833,0,1.2114473440817795,26.212851824802833,27.424299168884612,0.0,1.2114473440817797
26.800900604393785,1,0.6630020621824819,26.800900604393785,27.463902666576267,0.0,0.6630020621824819
43.0906186102018,0,0.8426292629837295,43.0906186102018,43.93324787318553,0.0,0.8426292629837278
48.60218561492343,0,0.829480035528209,48.60218561492343,49.431665650451635,0.0,0.8294800355282064
50.72543518477559,0,1.1218582196389701,50.72543518477559,51.847293404414565,0.0,1.1218582196389733
53.12256279852804,0,2.0578573295025864,53.12256279852804,55.180420128030626,0.0,2.057857329502589
58.561301348052766,0,0.6317354310834833,58.561301348052766,59.19303677913625,0.0,0.6317354310834844
64.52598706809806,0,0.9402921455057057,64.52598706809806,65.46627921360377,0.0,0.9402921455057083
67.15274233742507,0,2.2462314239259586,67.15274233742507,69.39897376135103,0.0,2.2462314239259626
77.77450656202511,0,1.753930352483816,77.77450656202511,79.52843691450893,0.0,1.7539303524838203
84.43401660982936,0,1.0590407461440146,84.43401660982936,85.49305735597338,0.0,1.0590407461440208
89.10330243539612,0,0.9339090582523311,89.10330243539612,90.03721149364844,0.0,0.9339090582523255
94.41339515943109,0,1.1527852185354965,94.41339515943109,95.56618037796659,0.0,1.1527852185354988
98.88127092378636,0,1.2111838604105132,98.88127092378636,100.09245478419687,0.0,1.2111838604105145
99.64354394214216,1,0.6526959593258636,99.64354394214216,100.29623990146803,0.0,0.6526959593258681
99.90139386688176,2,3.4817130232670084,100.09245478419687,103.57416780746388,0.191060917315113,3.6727739405821183
105.04905982750074,0,0.7407767505913282,105.04905982750074,105.78983657809206,0.0,0.7407767505913228
115.55573671607317,0,1.8307823137782204,115.55573671607317,117.38651902985139,0.0,1.830782313778215
123.73291246509883,0,2.542781456229906,123.73291246509883,126.27569392132874,0.0,2.5427814562299034
125.82914694223513,1,0.706010198363786,125.82914694223513,126.53515714059891,0.0,0.706010198363785
126.4903176308702,1,0.6922624994734411,126.4903176308702,127.18258013034364,0.0,0.6922624994734434
128.28539045917185,0,0.9759348032510307,128.28539045917185,129.26132526242287,0.0,0.9759348032510218
131.53742798828574,0,4.8449694025422625,131.53742798828574,136.382397390828,0.0,4.844969402542262
147.0575784798333,1,1.0191837521526006,147.0575784798333,148.0767622319859,0.0,1.0191837521525997
146.35947862948663,0,2.040966316548895,146.35947862948663,148.40044494603552,0.0,2.0409663165488894
147.63515554692867,2,2.824616187330376,148.0767622319859,150.90137841931627,0.44160668505722356,3.2662228723876012
150.6305202935208,1,0.7731968791707624,150.6305202935208,151.40371717269156,0.0,0.7731968791707686
151.7195035374408,0,0.8758661130410507,151.7195035374408,152.59536965048184,0.0,0.8758661130410417
153.3482595443603,0,0.6622168905340088,153.3482595443603,154.01047643489431,0.0,0.6622168905340118
153.50637587529442,1,1.0309696825675854,153.50637587529442,154.537345557862,0.0,1.0309696825675871
162.9666600057303,0,2.369205819511046,162.9666600057303,165.33586582524134,0.0,2.369205819511052
170.87557518023394,0,0.7873052425768992,170.87557518023394,171.66288042281084,0.0,0.787305242576906
177.9695197328444,0,2.6237342064023177,177.9695197328444,180.5932539392467,0.0,2.623734206402304
179.91795776520408,1,0.9628496880540682,179.91795776520408,180.88080745325814,0.0,0.9628496880540638
196.33075173400997,0,2.4591118628980304,196.33075173400997,198.789863596908,0.0,2.459111862898027
197.86552482642816,2,0.622648641270889,198.789863596908,199.4125122381789,0.9243387704798351,1.5469874117507345
197.67860931228685,1,1.8127477777883572,197.67860931228685,199.4913570900752,0.0,1.8127477777883598
200.13572356618323,0,0.839208239662672,200.13572356618323,200.9749318058459,0.0,0.8392082396626677
203.19509259835954,0,0.7303094580077814,203.19509259835954,203.92540205636732,0.0,0.7303094580077811
210.75637552268458,0,1.0999185812787657,210.75637552268458,211.85629410396334,0.0,1.0999185812787573
212.32752621801484,0,0.9636752068270187,212.32752621801484,213.29120142484186,0.0,0.9636752068270198
214.29296232945165,1,0.8642090190308469,214.29296232945165,215.1571713484825,0.0,0.8642090190308522
214.05812443330734,0,1.2257035487764347,214.05812443330734,215.28382798208378,0.0,1.225703548776437
221.7844619493404,1,0.9760045271130635,221.7844619493404,222.76046647645347,0.0,0.9760045271130764
218.5496148303409,0,5.161386718033014,218.5496148303409,223.7110015483739,0.0,5.161386718033015
227.10774556542242,1,0.5886295513886439,227.10774556542242,227.69637511681105,0.0,0.5886295513886353
226.0961499121902,0,2.197223153936901,226.0961499121902,228.29337306612712,0.0,2.1972231539369034
228.04144082080117,1,1.0000101562538826,228.04144082080117,229.04145097705506,0.0,1.000010156253893
237.17613835989826,0,0.8632819532324474,237.17613835989826,238.0394203131307,0.0,0.8632819532324447
239.65852241754658,0,1.5519787210702751,239.65852241754658,241.21050113861685,0.0,1.5519787210702702
243.45527075690927,0,2.5736226735552887,243.45527075690927,246.02889343046456,0.0,2.573622673555292
246.07167051865738,0,1.0407598702130638,246.07167051865738,247.11243038887045,0.0,1.0407598702130656
249.87688343418023,0,0.6050161466265105,249.87688343418023,250.48189958080673,0.0,0.6050161466264967
