,arrival_time,queue_len_at_arrival,service_time,start_service_time,completion_time,wait_time,system_time
0,1.1939449902453037,0,0.5538210188022227,1.1939449902453037,1.7477660090475262,0.0,0.5538210188022226
1,1.6975343892317805,1,0.6759059010850303,1.7477660090475262,2.4236719101325566,0.050231619815745754,0.7261375209007761
2,2.313465280166063,1,1.4233449980270563,2.4236719101325566,3.847016908159613,0.11020662996649344,1.5335516279935497
3,7.016706991247842,0,0.7765743977971062,7.016706991247842,7.793281389044949,0.0,0.7765743977971065
4,8.012145155793469,0,1.389892693111186,8.012145155793469,9.402037848904655,0.0,1.389892693111186
5,9.790878247534101,0,0.7449646010687965,9.790878247534101,10.535842848602897,0.0,0.744964601068796
6,13.051532999682506,0,0.7137629633750955,13.051532999682506,13.765295963057602,0.0,0.7137629633750961
7,14.571077592994317,0,1.1299402045896807,14.571077592994317,15.701017797583997,0.0,1.1299402045896798
8,16.953553435446118,0,0.7319081886064188,16.953553435446118,17.685461624052536,0.0,0.7319081886064183
9,17.96146548286564,0,1.0181650368527142,17.96146548286564,18.979630519718356,0.0,1.0181650368527144
10,18.71775969043066,1,0.9977889684977939,18.979630519718356,19.97741948821615,0.26187082928769456,1.2596597977854884
11,19.87671111976797,1,0.6843379874284797,19.97741948821615,20.66175747564463,0.10070836844818132,0.7850463558766627
12,22.11582437514054,0,0.5148949167602322,22.11582437514054,22.630719291900775,0.0,0.5148949167602339
13,25.069772108307536,0,1.2282433281832617,25.069772108307536,26.298015436490797,0.0,1.228243328183261
14,26.97196119553162,0,1.1255340057354641,26.97196119553162,28.097495201267083,0.0,1.1255340057354637
15,34.1678195403102,0,1.3646902510937748,34.1678195403102,35.532509791403974,0.0,1.3646902510937764
16,34.34910244997561,1,1.2307519363712538,35.532509791403974,36.76326172777523,1.1834073414283637,2.4141592777996195
17,38.82657214331009,0,0.7778652902989278,38.82657214331009,39.604437433609014,0.0,0.7778652902989265
18,39.678480797202184,0,1.3652217128437365,39.678480797202184,41.04370251004592,0.0,1.3652217128437343
19,40.00595813234441,1,1.0832384101510582,41.04370251004592,42.12694092019698,1.0377443777015074,2.1209827878525687
20,40.77856248234906,2,0.6736316361754026,42.12694092019698,42.80057255637238,1.34837843784792,2.0220100740233207
21,41.199721912980294,2,0.8127422562507669,42.80057255637238,43.613314812623145,1.6008506433920857,2.4135928996428504
22,41.3836796953084,3,0.514474476790067,43.613314812623145,44.127789289413215,2.229635117314743,2.7441095941048133
23,44.88635929695785,0,0.5325519216065894,44.88635929695785,45.41891121856444,0.0,0.5325519216065899
24,46.11862277794844,0,0.9683125344265762,46.11862277794844,47.08693531237501,0.0,0.9683125344265733
25,46.89776104061057,1,0.5031811092933116,47.08693531237501,47.59011642166832,0.18917427176444335,0.6923553810577516
26,47.38708610588355,1,1.0758730840369666,47.59011642166832,48.665989505705284,0.2030303157847726,1.2789033998217363
27,48.738071248239095,0,0.9272987712829501,48.738071248239095,49.665370019522044,0.0,0.927298771282949
28,55.65662840877562,0,1.11649125141019,55.65662840877562,56.773119660185806,0.0,1.1164912514101886
29,55.87775168026238,1,0.9994867503030173,56.773119660185806,57.77260641048883,0.895367979923428,1.8948547302264487
30,57.81899368070914,0,1.258810321003868,57.81899368070914,59.07780400171301,0.0,1.258810321003871
31,58.57221612856276,1,0.8961544444174234,59.07780400171301,59.97395844613044,0.5055878731502546,1.401742317567681
32,62.04952235826967,0,0.5222352879198788,62.04952235826967,62.571757646189546,0.0,0.5222352879198766
33,62.840388153593395,0,1.1235584021581055,62.840388153593395,63.9639465557515,0.0,1.1235584021581033
34,71.28774881548539,0,1.0191151439794957,71.28774881548539,72.30686395946488,0.0,1.0191151439794908
35,72.50449827333138,0,1.0787957188512474,72.50449827333138,73.58329399218263,0.0,1.0787957188512536
36,72.6411595553247,1,1.1101448283017323,73.58329399218263,74.69343882048436,0.942134436857927,2.0522792651596546
37,73.6420415337337,1,0.9298303204342466,74.69343882048436,75.62326914091861,1.0513972867506567,1.9812276071849055
38,76.52127142118077,0,0.8028021327223843,76.52127142118077,77.32407355390316,0.0,0.8028021327223911
39,76.56075996013502,1,0.5775759701985764,77.32407355390316,77.90164952410174,0.7633135937681459,1.3408895639667264
40,77.38807581041226,1,0.8043610967824563,77.90164952410174,78.7060106208842,0.5135737136894818,1.3179348104719395
41,81.00536456803201,0,1.340822162176361,81.00536456803201,82.34618673020837,0.0,1.3408221621763659
42,83.46815613170014,0,0.8188745787343831,83.46815613170014,84.28703071043452,0.0,0.8188745787343805
43,86.12064604812119,0,0.8375290506103422,86.12064604812119,86.95817509873153,0.0,0.8375290506103426
44,89.57583820896731,0,1.298843598059114,89.57583820896731,90.87468180702642,0.0,1.2988435980591078
45,91.27375697769776,0,0.7287034547756054,91.27375697769776,92.00246043247337,0.0,0.7287034547756122
46,92.11381627774789,0,0.9243711389270113,92.11381627774789,93.0381874166749,0.0,0.9243711389270146
47,92.76327393263011,1,0.6791267574878015,93.0381874166749,93.71731417416271,0.274913484044788,0.9540402415325957
48,93.3300789306,1,0.9288062533520195,93.71731417416271,94.64612042751473,0.38723524356271355,1.3160414969147354
49,93.5775288355124,2,1.3585974215593541,94.64612042751473,96.00471784907408,1.0685915920023348,2.427189013561687
50,100.44977304669106,0,0.6608313755289944,100.44977304669106,101.11060442222006,0.0,0.6608313755289998
51,101.29666238283458,0,1.1405099368325804,101.29666238283458,102.43717231966717,0.0,1.1405099368325864
52,104.3838661158751,0,0.7618010220904331,104.3838661158751,105.14566713796553,0.0,0.7618010220904381
